contrato;objeto;portal_de_compras;data_assinatura;inicio_execucao;termino_execucao;situacao;empresa_principal;cnpj;orgao_entidade_contratante;setor;modalidade_de_licitacao;regime_de_execucao;classificacao;natureza_do_contrato;obras_do_contrato;municipios;dias_originais;dias_aditados;dias_paralisados;dias_atuais;valor_inicial_do_contrato;valor_em_aditivos;valor_total_do_contrato;valor_medido_precos_iniciais;valor_medido_reajuste;total_medido;saldo_contratual;percentual_de_execucao_do_contrato
DM-021/2022;RECUPERAÇÃO FUNCIONAL MGC-262, PONTE SOBRE O RIO DAS VELHAS - ENTRº AVENIDA JOSÉ CÂNDIDO DA SILVEIRA;230176254/21;2022-04-20;2022-05-09 00:00:00;2022-10-16 01:00:00;Execução concluída;BALI -  CONSTRUTORA BAETA LIGÓRIO LTDA;18726947000140,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Recuperação Funcional do Pavimento;Obra Rodoviária; Obra 1 - Recuperação Funcional MGC-262, Ponte sobre o Rio das Velhas - Entrº Avenida José Cândido da Silveira; Obra 1 - Belo Horizonte, Sabará, São José da Lapa;92,0;60,0;9,0;161,0;2115790,03;485483,72;2601273,75;2593708,89;573115,62;3166824,51;7564,86;0,997091863168957
DM-021/2023;RECUPERAÇÃO FUNCIONAL LMG-634, JORDÂNIA - ALMENARA E LMG-630, BANDEIRA - ENTRº LMG-634;230176202923;2023-11-07;2024-02-15 00:00:00;2025-08-18 00:00:00;Execução concluída;LCM CONSTRUCAO E COMERCIO S/A;19758842000135,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Recuperação Funcional do Pavimento;Obra Rodoviária; Obra 1 - Recuperação funcional LMG-634, Jordânia - Almenara e LMG-630, Bandeira - Entrº LMG-634; Obra 1 - Almenara, Bandeira, Jacinto, Jordânia, Pedra Azul;274,0;181,0;96,0;551,0;51911237,26;984834,64;52896071,9;52161884,54;1767343,56;53929228,1;734187,36;0,986120191280215
DM-022/2022;RECUPERAÇÃO FUNCIONAL MG-311, TRECHO ENTRº BR-116 (CAMPANÁRIO) - PESCADOR;230176216/21;2022-05-02;2022-06-01 00:00:00;2023-05-31 00:00:00;Execução concluída;CONSTRUTORA CENTRO LESTE ENGENHARIA LTDA;66418765000154,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Recuperação Funcional do Pavimento;Obra Rodoviária; Obra 1 - Recuperação Funcional MG-311, trecho Entrº BR-116 (Campanário) - Pescador; Obra 1 - Campanário, Governador Valadares, Pescador;365,0;0,0;0,0;365,0;7872875,96;1141130,03;9014005,99;8444627,6;1812429,04;10257056,64;569378,39;0,936834034653221
DM-022/2023;IMPLANTAÇÃO DE VARIANTE NA MGC-383 - KM 46, ENTRE RIOS DE MINAS - LAGOA DOURADA;230176203123;2023-12-21;2024-02-15 00:00:00;2024-07-08 00:00:00;Execução concluída;TERRASA ENGENHARIA LTDA;11553360000137,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Obras Rodoviárias;Obra Rodoviária; Obra 1 - Implantação de variante na MGC-383 - km 46, Entre Rios de Minas - Lagoa Dourada; Obra 1 - Barbacena, Entre Rios de Minas;121,0;0,0;24,0;145,0;847402,96;83699,45;931102,41;768447,18;21319,39;789766,57;162655,23;0,825308979707184
DM-022/2024;MANUTENÇÃO E CONSERVAÇÃO - 16ª URG;230176205123;2024-05-14;2024-05-16 00:00:00;2026-05-15 00:00:00;Andamento;PAVIDEZ ENGENHARIA LTDA;1744153000106,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;RDC;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO E CONSERVAÇÃO - 16ª URG; Obra 1 - Aguanil, Bom Sucesso, Campo Belo, Cana Verde, Candeias, Carmópolis de Minas, Carrancas, Cláudio, Cristais, Desterro de Entre Rios, Entre Rios de Minas, Ibituruna, Ijaci, Ingaí, Itaguara, Itapecerica, Itumirim, Itutinga, Lavras, Luminárias, Nazareno, Oliveira, Passa Tempo, Perdões, Piracema, Resende Costa, Ribeirão Vermelho, Santana do Jacaré, Santo Antônio do Amparo, São Francisco de Paula, São Tiago;730,0;0,0;0,0;730,0;42788655,89;0,0;42788655,89;25503558,77;1273762,73;26777321,5;17285097,12;0,596035520151975
DM-023/2021;RECUPERAÇÃO FUNCIONAL CMG-367, TRECHO COUTO DE MAGALHÃES DE MINAS - DIAMANTINA;230176261/21;2021-10-01;2022-02-01 00:00:00;2023-01-31 00:00:00;Execução concluída;ETHOS ENGENHARIA DE INFR  S A;19758779000137,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Recuperação Funcional do Pavimento;Obra Rodoviária; Obra 1 - Recuperação funcional CMG-367, trecho Couto de Magalhães de Minas - Diamantina, com 30,40 km de extensão; Obra 1 - Couto de Magalhães de Minas, Diamantina;365,0;0,0;0,0;365,0;5901623,89;643807,38;6545431,27;6178243,94;1135643,45;7313887,39;367187,33;0,943901736210577
DM-023/2022;"RECUPERAÇÃO DE ATERROS AMG-1760, ACESSO A SEM PEIXE; AMG-1715, ENTR. MG-329 - SANTO ANTÔNIO DO GRAMA; CMG-482, VIÇOSA - PORTO FIRME";230176203022;2022-06-14;2022-06-21 00:00:00;2022-07-22 00:00:00;Execução concluída;CONSTRUTORA SAGENDRA LTDA;17311358000138,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;DISPENSA DE LICITAÇÃO;EMPREITADA POR PREÇO UNITÁRIO;Recuperação;Obra Rodoviária;" Obra 1 - Recuperação de aterros AMG-1760, acesso a Sem Peixe; AMG-1715, Entr. MG-329 - Santo Antônio do Grama; CMG-482, Viçosa - Porto Firme"; Obra 1 - Dom Silvério, Ponte Nova, Porto Firme, Santo Antônio do Grama, Sem-Peixe;32,0;0,0;0,0;32,0;6565098,37;0,0;6565098,37;4257020,85;0,0;4257020,85;2308077,52;0,648432149844542
DM-023/2023;RECUPERAÇÃO FUNCIONAL MG-428, ENTRº BR-262 (ARAXÁ) - DIVISA MG/SP;230176200723;2023-12-27;2023-12-29 00:00:00;2024-10-11 00:00:00;Execução concluída;CONSÓRCIO ETHOS/HWN - RODOVIA MG-428;53266704000177,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Recuperação Funcional do Pavimento;Obra Rodoviária; Obra 1 - Recuperação funcional MG-428, Entrº BR-262 (Araxá) - Divisa MG/SP; Obra 1 - Araxá, Sacramento;275,0;0,0;13,0;288,0;37087535,24;4835486,59;41923021,83;39245945,29;1230633,17;40476578,46;2677076,54;0,936143044486257
DM - 024/2021;RECUPERAÇÃO FUNCIONAL CMG-367, TRECHO ENTRº LMG-677 P/(TURMALINA) - ENTRº BR-451 P/(CARBONITA);230176264/21;2021-10-20;2021-11-22 00:00:00;2023-09-05 00:00:00;Execução concluída;CONSTRUTORA CENTRO LESTE ENGENHARIA LTDA;66418765000154,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Recuperação Funcional do Pavimento;Obra Rodoviária; Obra 1 - Recuperação funcional CMG-367, trecho Entrº LMG-677 p/(Turmalina) - Entrº BR-451 p/(Carbonita); Obra 1 - Carbonita, Turmalina;365,0;120,0;168,0;653,0;9407108,41;1257689,6;10664798,01;10234891,86;2518260,34;12753152,2;429906,15;0,959689236533417
DM-024/2022;RECUPERAÇÃO DO ATERRO NA MG-010 (LINHA VERDE), KM 21, TRECHO ENTR. MG/424 - CONFINS;230176203122;2022-06-15;2022-06-21 00:00:00;2022-08-29 00:00:00;Execução concluída;SEISAN ENGENHARIA E CONSTRUCOES LTDA;25708348000169,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;DISPENSA DE LICITAÇÃO;EMPREITADA POR PREÇO UNITÁRIO;Recuperação;Obra Rodoviária; Obra 1 - Exec. dos serviços emergenciais para recuperação do Aterro na Rodovia MG-010 (Linha Verde), km 21, trecho Entr. MG/424 - Confins, 01ª URG do DER/MG.; Obra 1 - Belo Horizonte, Confins, Ribeirão das Neves, São José da Lapa, Vespasiano;70,0;0,0;0,0;70,0;3842250,12;-0,17;3842249,95;2994726,06;0,0;2994726,06;847523,89;0,779419896927841
DM-025/2021;RECUPERAÇÃO FUNCIONAL MG-190, ABADIA DOS DOURADOS - ENTRº BR-365 (UBERLÂNDIA);230176256/21;2021-10-22;2022-03-01 00:00:00;2023-04-21 00:00:00;Execução concluída;ETHOS ENGENHARIA DE INFR  S A;19758779000137,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Recuperação Funcional do Pavimento;Obra Rodoviária; Obra 1 - Recuperação Funcional MG-190, trecho Final do Perímetro Urbano de Abadia dos Dourados - Entrº BR-365 (Uberlândia), com extensão de 58,30 km; Obra 1 - Abadia dos Dourados, Monte Carmelo, Romaria, Uberlândia;365,0;0,0;52,0;417,0;17708410,53;2974351,71;20682762,24;19850671,26;4218499,9;24069171,16;832090,98;0,959768865959753
DM-025/2022;RECUPERAÇÃO FUNCIONAL LMG-806, TRECHO CONDOMÍNIO CAPELA INÍCIO PERÍMETRO URBANO DE RIBEIRÃO DAS NEVES (TREVO CIRIN);230176252/21;2022-11-07;2023-05-02 00:00:00;2023-11-01 00:00:00;Execução concluída;CONSTRUTORA ZAG LTDA;356328000145,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Recuperação Funcional do Pavimento;Obra Rodoviária; Obra 1 - Recuperação funcional LMG-806, trecho Condomínio Capela Início Perímetro Urbano de Ribeirão das Neves (TREVO CIRIN); Obra 1 - Betim, Ribeirão das Neves;92,0;92,0;0,0;184,0;2817299,55;685174,23;3502473,78;3496811,95;1241114,15;4737926,1;5661,83;0,99838347683505
DM-025/2023;MANUTENÇÃO E CONSERVAÇÃO - 22ª URG;230176202723;2023-12-28;2023-12-29 00:00:00;2024-12-28 00:00:00;Execução concluída;CONSTRUTORA TERRAYAMA LTDA;21681150000188,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO E CONSERVAÇÃO - 22ª URG; Obra 1 - Araçuaí, Berilo, Chapada do Norte, Coronel Murta, Francisco Badaró, Itaobim, Itinga, Jenipapo de Minas, José Gonçalves de Minas, Leme do Prado, Minas Novas, Monte Formoso, Novo Cruzeiro, Ponto dos Volantes, Turmalina, Virgem da Lapa;366,0;0,0;0,0;366,0;12892384,11;0,0;12892384,11;8377949,55;190332,3;8568281,85;4514434,56;0,649837103713163
DM-025/2023-A;MANUTENÇÃO E CONSERVAÇÃO - 22ª URG;230176202723;2024-12-17;2024-12-29 00:00:00;2025-12-28 00:00:00;Execução concluída;CONSTRUTORA TERRAYAMA LTDA;21681150000188,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO E CONSERVAÇÃO - 22ª URG; Obra 1 - Araçuaí, Berilo, Chapada do Norte, Coronel Murta, Francisco Badaró, Itaobim, Itinga, Jenipapo de Minas, José Gonçalves de Minas, Leme do Prado, Minas Novas, Monte Formoso, Novo Cruzeiro, Ponto dos Volantes, Turmalina, Virgem da Lapa;365,0;0,0;0,0;365,0;12614266,32;0,0;12614266,32;9432232,24;778226,28;10210458,52;3182034,08;0,747743229825831
DM-025/2023-B;MANUTENÇÃO E CONSERVAÇÃO - 22ª URG;230176202723;2025-12-23;2025-12-29 00:00:00;2026-12-28 00:00:00;Andamento;CONSTRUTORA TERRAYAMA LTDA;21681150000188,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO E CONSERVAÇÃO - 22ª URG; Obra 1 - Araçuaí, Berilo, Chapada do Norte, Coronel Murta, Francisco Badaró, Itaobim, Itinga, Jenipapo de Minas, José Gonçalves de Minas, Leme do Prado, Minas Novas, Monte Formoso, Novo Cruzeiro, Ponto dos Volantes, Turmalina, Virgem da Lapa;365,0;0,0;0,0;365,0;12585961,98;0,0;12585961,98;0,0;0,0;0,0;12585961,98;0,0
DM-026/2022;RECUPERAÇÃO FUNCIONAL DO PAVIMENTO NA RODOVIA MG-238, TRECHO INTERSEÇÃO IVECO SETE LAGOAS;230176253/21;2022-06-22;2023-05-02 00:00:00;2023-11-01 00:00:00;Execução concluída;BALI -  CONSTRUTORA BAETA LIGÓRIO LTDA;18726947000140,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Recuperação Funcional do Pavimento;Obra Rodoviária; Obra 1 - Recuperação Funcional do Pavimento na Rodovia MG-238, trecho Interseção IVECO Sete Lagoas, com extensão de 8,20 km.; Obra 1 - Sete Lagoas, São José da Lapa;92,0;92,0;0,0;184,0;2222289,0;551783,14;2774072,14;2765548,85;967889,47;3733438,32;8523,29;0,996927516816488
DM-026/2023;MANUTENÇÃO E CONSERVAÇÃO - 27ª URG;230176202723;2023-12-21;2023-12-29 00:00:00;2024-12-28 00:00:00;Execução concluída;CONSTRUTORA ASTECA LTDA;71385777000160,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO E CONSERVAÇÃO - 27ª URG; Obra 1 - Almenara, Bandeira, Cachoeira de Pajeú, Comercinho, Divisa Alegre, Divisópolis, Jacinto, Jequitinhonha, Jordânia, Mata Verde, Medina, Pedra Azul, Águas Vermelhas;366,0;0,0;0,0;366,0;14978527,55;0,0;14978527,55;13677427,47;372923,63;14050351,1;1301100,08;0,913135648637239
DM-026/2023-A;MANUTENÇÃO E CONSERVAÇÃO - 27ª URG;230176202723;2024-12-16;2024-12-29 00:00:00;2025-12-28 00:00:00;Execução concluída;CONSTRUTORA ASTECA LTDA;71385777000160,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO E CONSERVAÇÃO - 27ª URG; Obra 1 - Almenara, Bandeira, Cachoeira de Pajeú, Comercinho, Divisa Alegre, Divisópolis, Jacinto, Jequitinhonha, Jordânia, Mata Verde, Medina, Pedra Azul, Águas Vermelhas;365,0;0,0;0,0;365,0;14719180,58;0,0;14719180,58;8241106,01;607657,59;8848763,6;6478074,57;0,559888912647609
DM-026/2023-B;MANUTENÇÃO E CONSERVAÇÃO - 27ª URG;230176202723;2025-12-23;2025-12-29 00:00:00;2026-12-28 00:00:00;Andamento;CONSTRUTORA ASTECA LTDA;71385777000160,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO E CONSERVAÇÃO - 27ª URG; Obra 1 - Almenara, Bandeira, Cachoeira de Pajeú, Comercinho, Divisa Alegre, Divisópolis, Jacinto, Jequitinhonha, Jordânia, Mata Verde, Medina, Pedra Azul, Águas Vermelhas;365,0;0,0;0,0;365,0;14704896,91;0,0;14704896,91;0,0;0,0;0,0;14704896,91;0,0
DM-027/2021;"CONSTRUÇÃO DE ALAS DE GALERIA EM GABIÃO E INSTALAÇÃO DE ""COLCHÃO RENO"" NA RODOVIA MGC-262";230176203021;2021-10-20;2021-11-03 00:00:00;2023-12-19 00:00:00;Execução concluída;CONSERVASOLO ENGENHARIA DE PROJETOS E CONSULT.TECNICA LTDA;21728225000139,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Manutenção Drenagem;Obra Rodoviária;" Obra 1 - Construção de alas de galeria em gabião e instalação de ""Colchão Reno"" na Rodovia MGC-262, no km 302, no trecho Sabará - Entr. p/ Bairro Nações Unidas"; Obra 1 - Ribeirão das Neves, Sabará;120,0;91,0;566,0;777,0;603046,21;0,0;603046,21;356973,01;38542,67;395515,68;246073,2;0,59194967828419
DM-027/2022;ESTABILIZAÇÃO DE CORTE CMG-120/MG - KM 653 - TRECHO COIMBRA - SÃO GERALDO;230176204022;2022-07-22;2022-07-26 00:00:00;2022-08-15 00:00:00;Execução concluída;FG-IPE SPE LTDA;47109984000107,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;DISPENSA DE LICITAÇÃO;EMPREITADA POR PREÇO UNITÁRIO;Recuperação;Obra Rodoviária; Obra 1 - Estabilização de corte CMG-120/MG - km 653 - Trecho Coimbra - São Geraldo; Obra 1 - Coimbra, São Geraldo, Ubá;21,0;0,0;0,0;21,0;19739276,86;0,0;19739276,86;15962113,83;0,0;15962113,83;3777163,03;0,808647345250316
DM-027/2023;MANUTENÇÃO E CONSERVAÇÃO - 32ª URG;230176202723;2023-12-21;;;A Iniciar;CROS CONSTRUÇÕES S/A;22010581000185,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Obra Rodoviária; Obra 1 - MANUTENÇÃO E CONSERVAÇÃO - 32ª URG; Obra 1 - Janaúba;0,0;0,0;0,0;0,0;15871866,47;0,0;15871866,47;0,0;0,0;0,0;15871866,47;0,0
DM-028/2021;IMPLANTAÇÃO DE TÚNEL BALA (2,00 X 2,58)M NA MG-424, KM 2,80, ENTRº MG-010 - ENTRº P/SÃO JOSÉ DA LAPA;32/2021;2021-11-05;2021-12-01 00:00:00;2023-10-09 00:00:00;Execução concluída;TRAVESSIA ENGENHARIA LTDA;24027175000150,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Obras Rodoviárias;Obra Rodoviária; Obra 1 - Implantação de Túnel Bala (2,00 x 2,58)m na MG-424, km 2,80, Entrº MG-010 - Entrº p/São José da Lapa; Obra 1 - Belo Horizonte, São José da Lapa, Vespasiano;121,0;92,0;465,0;678,0;1120196,0;167200,0;1287396,0;1231400,0;139471,03;1370871,03;55996,0;0,956504447737914
DM-028/2022;REC. FUNC. AMG-0705 E AMG-0715, TRECHOS ENTRº AMG-0710 - ENTRº AMG-0715 E ENTRº AMG-0705 - FRANCA;230176210/22;2022-08-02;2022-09-06 00:00:00;2026-02-02 00:00:00;Paralisado;TERRASA ENGENHARIA LTDA;11553360000137,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;TOMADA DE PREÇOS;EMPREITADA POR PREÇO UNITÁRIO;Recuperação Funcional do Pavimento;Obra Rodoviária; Obra 1 - Recuperação Funcional do Pavimento nas Rodovias AMG-0705 e AMG-0715, trechos Entrº AMG-0710 - Entrº AMG-0715 e Entrº AMG-0705 - Entrº MG-428 (Franca); Obra 1 - Araxá;181,0;0,0;1065,0;1246,0;1559477,28;-21546,0;1537931,28;178011,99;0,0;178011,99;1359919,29;0,115747688024136
DM-028/2023;MANUTENÇÃO E CONSERVAÇÃO - 37ª URG;230176202723;2024-01-03;2024-02-02 00:00:00;2025-02-01 00:00:00;Execução concluída;"CONSÓRCIO ""MEEL/B&F""";53311062000180,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO E CONSERVAÇÃO - 37ª URG; Obra 1 - Bonito de Minas, Chapada Gaúcha, Cônego, Itacarambi, Januária, Juvenília, Lontra, Manga, Mirabela, Miravânia, Montalvânia, Montes Claros, Pedras de Maria da Cruz, São Francisco;366,0;0,0;0,0;366,0;13619979,69;0,0;13619979,69;13619524,68;369256,11;13988780,79;455,01;0,999966592461196
DM-028/2023-A;MANUTENÇÃO E CONSERVAÇÃO - 37ª URG;230176202723;2025-01-28;2025-02-02 00:00:00;2026-02-01 00:00:00;Andamento;"CONSÓRCIO ""MEEL/B&F""";53311062000180,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO E CONSERVAÇÃO - 37ª URG; Obra 1 - Bonito de Minas, Chapada Gaúcha, Cônego, Itacarambi, Januária, Juvenília, Lontra, Manga, Mirabela, Miravânia, Montalvânia, Montes Claros, Pedras de Maria da Cruz, São Francisco;365,0;0,0;0,0;365,0;13375792,1;0,0;13375792,1;9057027,25;603786,84;9660814,09;4318764,85;0,677120815147837
DM-029/2021;ESTABILIZAÇÃO DE TALUDE NA BR-356, KM 3,00 E 4,20.;230176202521;2021-10-26;2021-11-22 00:00:00;2024-01-24 00:00:00;Execução concluída;CONSTRUTORA MARINS LTDA;25388869000186,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Obras Rodoviárias;Obra Rodoviária; Obra 1 - Estabilização de Talude de Aterro BR-356 - km 3,00 e 4,20 e Execução de Solo Grampeado no km 4,40, trecho Trevo Belvedere - Entr°. MG-030 (Nova Lima); Obra 1 - Belo Horizonte, Esmeraldas, São José da Lapa;426,0;183,0;185,0;794,0;8508126,45;1623310,7;10131437,15;8532768,06;1745613,86;10278381,92;1598669,09;0,842207076219192
DM-029/2022;"RECUPERAÇÃO FUNCIONAL AMG-2595, UBERABA - DISTRITO INDUSTRIAL III; AMG-2510, ENTRº MG-2570 - ENTRº MG-2595 (AV. FILOMENA CATARFINA)";230176215/22;2022-08-31;2022-09-06 00:00:00;2023-12-10 00:00:00;Execução concluída;CONSÓRCIO ETHOS /HWN - AMG 2595 E 2510;47511443000100,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Recuperação Funcional do Pavimento;Obra Rodoviária;" Obra 1 - Recuperação funcional AMG-2595, Uberaba - Distrito Industrial III; AMG-2510, Entrº MG-2570 - Entrº MG-2595 (Av. Filomena Catarfina)"; Obra 1 - Delta, Uberaba, Uberlândia;365,0;0,0;96,0;461,0;20107616,11;3400831,88;23508447,99;21206580,53;2154397,01;23360977,54;2301867,46;0,902083393128327
DM-029/2023;MANUTENÇÃO E CONSERVAÇÃO - 38ª URG;230176202723;2023-12-26;2023-12-29 00:00:00;2024-12-28 00:00:00;Execução concluída;CIVILPAV CONSTRUCOES LTDA EPP;22464660000166,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO E CONSERVAÇÃO - 38ª URG; Obra 1 - Angelândia, Aricanduva, Capelinha, Carbonita, Itamarandiba, José Raydan, Ladainha, Malacacheta, Minas Novas, Novo Cruzeiro, Santa Maria do Suaçuí, Senador Modestino Gonçalves, Setubinha, São José do Jacuri, São Pedro do Suaçuí, São Sebastião do Maranhão, Turmalina, Veredinha, Água Boa;366,0;0,0;0,0;366,0;12514494,75;0,0;12514494,75;12513598,9;280123,44;12793722,34;895,85;0,999928415008524
DM-029/2023-A;MANUTENÇÃO E CONSERVAÇÃO - 38ª URG;230176202723;2024-12-19;2024-12-29 00:00:00;2025-12-28 00:00:00;Andamento;CIVILPAV CONSTRUCOES LTDA EPP;22464660000166,0;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DIRETORIA DE OPERAÇÕES;CONCORRÊNCIA ELETRÔNICA;EMPREITADA POR PREÇO UNITÁRIO;Manutenção e Conservação;Natureza continuada e/ou conserva; Obra 1 - MANUTENÇÃO E CONSERVAÇÃO - 38ª URG; Obra 1 - Angelândia, Aricanduva, Capelinha, Carbonita, Itamarandiba, José Raydan, Ladainha, Malacacheta, Minas Novas, Novo Cruzeiro, Santa Maria do Suaçuí, Senador Modestino Gonçalves, Setubinha, São José do Jacuri, São Pedro do Suaçuí, São Sebastião do Maranhão, Turmalina, Veredinha, Água Boa;365,0;0,0;0,0;365,0;12440286,04;0,0;12440286,04;7582637,38;403889,98;7986527,36;4857648,66;0,609522751777499
